"Status","Invoiced","Number","Date","Buyer","Job","Quantity","Approved By","Amount","Shipping Date","Seller","Amount (CAD)","Unbilled Balance (CAD)","Unpaid Balance (CAD)","Employee","Reference","Weight (lb)","Volume (ft³)","Approved Date","Payment Terms","Incoterms","Notes","Currency","Billing Address","Shipping Address","Seller Address","Modes of Transportation","Last Event","Online","Type","Exchange Rate","Is Cancelled","Reverse Exchange Rate","Paid","Division","Template Name","Tax Amt. (CAD)","Amt. Before Tax (CAD)","Other Charges (CAD)","Items Amount (CAD)","Online Creator","Is Printed","Attachments","Backordered","External Id","Channel","Store Order Reference","Store Order Date","Courier","Shipment Type","Shipping Cost","Salesperson","Billing Client","Synced to Logistico","POS Order","Fulfilled","Total Discount (CAD)","Total Discount","Returning","Purchase Order","Lot Number","Container#"
"Delivered","Yes","2554C","01/06/2023","Chiovitti Banana Co., Ltd","2554","624","Naomi Bendayan","USD 16518.24","01/09/2023","Equifruit, Inc.","22,560.61","0.00","0.00","Marie Lamare",,"24,954.92","1,322.18","01/10/2023","Net 30",,,"United States Dollar","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.73","No","1.37","Yes",,,"0.00","22,560.61","0.00","22,560.61",,"No","No","No",,,,,,,"0.00",,"Chiovitti Banana Co., Ltd","No","No","No","0.00","USD 0.00","0","230233",,
"Delivered","Yes","2551","01/06/2023","Costco Vaughan Wet","2551","900","Naomi Bendayan","USD 25686.00","01/08/2023","Equifruit, Inc.","35,081.94","0.00","0.00","Marie Lamare",,"35,992.67","1,906.99","01/10/2023","Net 30",,,"United States Dollar","100 Line Drive, Vaughan, ON L4H 4M2. Canada","100 Line Drive, Vaughan, ON L4H 4M2. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.73","No","1.37","Yes",,,"0.00","35,081.94","0.00","35,081.94",,"No","No","No",,,,,,,"0.00",,"Costco Vaughan Wet","No","No","No","0.00","USD 0.00","0","230232",,
"Delivered","Yes","2549","01/06/2023","Costco Vaughan Wet","2549","900","Naomi Bendayan","USD 25686.00","01/07/2023","Equifruit, Inc.","35,081.94","0.00","0.00","Marie Lamare",,"35,992.67","1,906.99","01/10/2023","Net 30",,,"United States Dollar","100 Line Drive, Vaughan, ON L4H 4M2. Canada","100 Line Drive, Vaughan, ON L4H 4M2. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.73","No","1.37","Yes",,,"0.00","35,081.94","0.00","35,081.94",,"No","No","No",,,,,,,"0.00",,"Costco Vaughan Wet","No","No","No","0.00","USD 0.00","0","250109",,
"Delivered","Yes","2546","01/06/2023","Chiovitti Banana Co., Ltd","2546","960","Naomi Bendayan","USD 23145.60","01/07/2023","Equifruit, Inc.","31,612.26","0.00","0.00","Marie Lamare",,"38,392.18","2,034.12","01/10/2023","Net 30",,,"United States Dollar","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.73","No","1.37","Yes",,,"0.00","31,612.26","0.00","31,612.26",,"No","No","No",,,,,,,"0.00",,"Chiovitti Banana Co., Ltd","No","No","No","0.00","USD 0.00","0","230109",,
"Delivered","Yes","2548G","01/05/2023","GO FRESH","2548","240","Naomi Bendayan","USD 6523.20","01/06/2023","Equifruit, Inc.","8,909.39","0.00","0.00","Marie Lamare",,"9,598.05","508.53","01/27/2023","Net 30",,,"United States Dollar","247-165 the Queensway, Toronto, ON M8Y 1H8. Canada","302 Dwight Avenue, Toronto, ON M8W 2W7. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.73","No","1.37","Yes",,,"0.00","8,909.39","0.00","8,909.39",,"No","No","No",,,,,,,"0.00",,"GO FRESH","No","No","No","0.00","USD 0.00","0","12940",,
"Delivered","Yes","2548C","01/05/2023","Chiovitti Banana Co., Ltd","2548","720","Naomi Bendayan","USD 17801.28","01/06/2023","Equifruit, Inc.","24,312.99","0.00","0.00","Marie Lamare",,"28,794.14","1,525.59","01/10/2023","Net 30",,,"United States Dollar","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.73","No","1.37","Yes",,,"0.00","24,312.99","0.00","24,312.99",,"No","No","No",,,,,,,"0.00",,"Chiovitti Banana Co., Ltd","No","No","No","0.00","USD 0.00","0","230107",,
"Delivered","Yes","2539","01/05/2023","Costco Vaughan Wet","2539","900","Naomi Bendayan","USD 25686.00","01/06/2023","Equifruit, Inc.","35,081.94","0.00","0.00","Marie Lamare",,"35,992.67","1,906.99","01/10/2023","Net 30",,,"United States Dollar","100 Line Drive, Vaughan, ON L4H 4M2. Canada","100 Line Drive, Vaughan, ON L4H 4M2. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.73","No","1.37","Yes",,,"0.00","35,081.94","0.00","35,081.94",,"No","No","No",,,,,,,"0.00",,"Costco Vaughan Wet","No","No","No","0.00","USD 0.00","0","Seafood",,
"Delivered","Yes","2543","01/05/2023","Sobeys Whitby","2543","960","Naomi Bendayan","CAD 35222.40","01/06/2023","Equifruit, Inc.","35,222.40","0.00","0.00","Marie Lamare",,"38,390.40","2,035.20","01/10/2023","Net 30",,,"Canadian Dollar",,"100 Nordeagle Ave, Whitby, ON L1N 0B6. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","1.00","No","1.00","Yes",,,"0.00","35,222.40","0.00","35,222.40",,"No","No","No",,,,,,,"0.00",,"Sobeys Whitby","No","No","No","0.00","CAD 0.00","0","4541703851",,
"Delivered","Yes","2537","01/04/2023","Costco Vaughan Wet","2537","900","Naomi Bendayan","USD 25686.00","01/05/2023","Equifruit, Inc.","35,081.94","0.00","0.00","Marie Lamare",,"35,992.67","1,906.99","01/10/2023","Net 30",,,"United States Dollar","100 Line Drive, Vaughan, ON L4H 4M2. Canada","100 Line Drive, Vaughan, ON L4H 4M2. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.73","No","1.37","Yes",,,"0.00","35,081.94","0.00","35,081.94",,"No","No","No",,,,,,,"0.00",,"Costco Vaughan Wet","No","No","No","0.00","USD 0.00","0","230106",,
"Delivered","Yes","2532","01/04/2023","Sobeys BCH","2532","960","Naomi Bendayan","CAD 34780.80","01/05/2023","Equifruit, Inc.","34,780.80","0.00","0.00","Marie Lamare",,"38,390.40","2,035.20","01/27/2023","Net 30",,,"Canadian Dollar","Montreal, QC H1G 3J5. Canada","1500 Bd de Montarville, Boucherville, QC J4B 5Y3. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","1.00","No","1.00","Yes",,,"0.00","34,780.80","0.00","34,780.80",,"No","No","No",,,,,,,"0.00",,"Sobeys BCH","No","No","No","0.00","CAD 0.00","0","4566068116",,
