job,status,purchase_order_container#,pieces,contained_item,purchase_order_harvest_date,departure_date,arrival_date,description,model,item_definition_categories,part_number,purchase_order_pallets,unitary_value,length_in,height_in,width_in,weight_lb,volume_ft³,piece_weight_lb,piece_volume_ft³
4584,Ordered,NaN,900,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007MXCOL,Chep,25.6,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4586,Ordered,NaN,960,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade con banda,Organic banana,Organic,001MXCOL,Chep,25.24,15.75,9.06,24.02,"38,392.18","2,034.12",39.99,2.12
4585,Ordered,NaN,900,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007MXCOL,Chep,25.6,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4583,Ordered,NaN,900,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007MXCOL,Chep,25.6,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4578,Ordered,NaN,900,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007MXCOL,Chep,25.6,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4582,Ordered,NaN,960,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade con banda,Organic banana,Organic,001MXCOL,Chep,25.24,15.75,9.06,24.02,"38,392.18","2,034.12",39.99,2.12
4581,Ordered,NaN,900,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007MXCOL,Chep,25.6,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4579,Ordered,NaN,720,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade con banda,Organic banana,Organic,001MXCOL,Chep,25.24,15.75,9.06,24.02,"28,794.14","1,525.59",39.99,2.12
4580,Ordered,NaN,960,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade con banda,Organic banana,Organic,001MXCOL,Chep,25.24,15.75,9.06,24.02,"38,392.18","2,034.12",39.99,2.12
4577,Ordered,NaN,720,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade con banda,Organic banana,Organic,001MXCOL,Chep,25.24,15.75,9.06,24.02,"28,794.14","1,525.59",39.99,2.12
