Type,Code,Description,Account Name,Amount,Currency,COS Charge?
Inventory,004COCIA-COST,Banane Cavendish Equitable / Fairtrade banana,Coût du fruit,11.70,United States Dollar,Yes
Inventory,004COCIA-INC,Banane Cavendish Equitable / Fairtrade banana,Ventes,0.00,United States Dollar,Yes
Inventory,001COCIA-COST,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Coût du fruit,14.10,United States Dollar,Yes
Inventory,001COCIA-INC,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Ventes,0.00,United States Dollar,Yes
Inventory,007ECELG-COST,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Coût du fruit,14.05,United States Dollar,Yes
Inventory,007ECELG-INC,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Ventes,0.00,United States Dollar,Yes
Inventory,004ECELG-COST,Banane Cavendish Equitable / Fairtrade banana,Coût du fruit,10.90,United States Dollar,Yes
Inventory,004ECELG-INC,Banane Cavendish Equitable / Fairtrade banana,Ventes,0.00,United States Dollar,Yes
Inventory,001ECELG-COST,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Coût du fruit,13.90,United States Dollar,Yes
Inventory,001ECELG-INC,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Ventes,0.00,United States Dollar,Yes
Inventory,001PEAPP-COST,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Coût du fruit,13.85,United States Dollar,Yes
Inventory,001PEAPP-INC,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Ventes,0.00,United States Dollar,Yes
Inventory,004MXCOL-COST,Banane Cavendish Equitable / Fairtrade banana,Coût du fruit,14.85,United States Dollar,Yes
Inventory,004MXCOL-INC,Banane Cavendish Equitable / Fairtrade banana,Ventes,0.00,United States Dollar,Yes
Inventory,001MXCOL-COST,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Coût du fruit,17.50,United States Dollar,Yes
Inventory,001MXCOL-INC,Banane Cavendish Bio & Equitable / Fairtrade & Organic banana,Ventes,0.00,United States Dollar,Yes
Other,OPEBALINCUSD,Opening Balance Income USD,Opening Balance Income,0.00,United States Dollar,No
Other,,World Banana forum,World Banana Forum,0.00,Canadian Dollar,No
Other,,Ventes Emballage,Ventes Emballage,0.00,Canadian Dollar,No
Other,,Ventes,Ventes,0.00,Canadian Dollar,No
Other,,Vacances,Vacances administration,0.00,Canadian Dollar,No
Other,TRANSMAR,Transport Maritime,Transport Maritime,0.00,United States Dollar,No
Other,,Transport pays d'origine,Transport pays d'origine,0.00,Canadian Dollar,No
Other,TRANSMEX,Transport Mexique direct,Transport Mexique direct,0.00,Canadian Dollar,No
Other,,Total variation d'inventaire,Total variation d'inventaire,0.00,Canadian Dollar,No
Other,,Total télécommunication,Informatiques & Télécomms,0.00,Canadian Dollar,No
Other,,Total Tedy,Avantages et bénéfices salariales,0.00,Canadian Dollar,No
Other,,Total salaires et avant soc.adm.,Total salaires et avant soc.adm.,0.00,Canadian Dollar,No
Other,,Total impôts de l'exercice,Impôts de l'exercice,0.00,Canadian Dollar,No
Other,,Total Frais interne,Frais Honoraires professionnels,0.00,Canadian Dollar,No
Other,,Total frais généraux administration,Total frais généraux administration,0.00,Canadian Dollar,No
Other,,Total frais de Marketing,Total frais de Marketing,0.00,Canadian Dollar,No
Other,,Total frais bancaires,Total frais bancaires,0.00,Canadian Dollar,No
Other,,Total développement fournisseurs,Total développement fournisseurs,0.00,Canadian Dollar,No
Other,,Total développement des affaires,Total développement des affaires,0.00,Canadian Dollar,No
Other,,Total des revenus,Total des revenus,0.00,Canadian Dollar,No
Other,,Total des charges salariales,Salaires et charges sociales marketing,0.00,Canadian Dollar,No
Other,,Total cotisations,"Licences, permis et adhésions",0.00,Canadian Dollar,No
Other,,Total assurances,Assurances,0.00,Canadian Dollar,No
Other,,Total amortissements et impôts,Total amortissements et impôts,0.00,Canadian Dollar,No
Other,,Total - Autre produit,Total - Autre produit,0.00,Canadian Dollar,No
Other,,Tenue de livre,Tenue de livre,0.00,Canadian Dollar,No
Other,,Téléphone,Téléphone,0.00,Canadian Dollar,No
Other,,Tedy,Avantages Tedy,0.00,Canadian Dollar,No
Other,,Team building,Team building,0.00,Canadian Dollar,No
Other,,Swag,Swag,0.00,Canadian Dollar,No
Other,,Subvention Finances Québec,Subvention Finances Québec,0.00,Canadian Dollar,No
Other,REEPLUGIN,Reefer plugin,Reefer plugin,75.00,United States Dollar,No
Other,,Stocks au début,Stocks au début,0.00,Canadian Dollar,No
Other,,Stocks à la fin,Stocks à la fin,0.00,Canadian Dollar,No
Other,,Sécurité,Sécurité,0.00,Canadian Dollar,No
Other,,Salaires administrations,Salaires administrations,0.00,Canadian Dollar,No
Other,,Salaires & traitements,Salaires marketing,0.00,Canadian Dollar,No
Other,,Revenus subvention fédéral 75%,Revenus subvention fédéral 75%,0.00,Canadian Dollar,No
Other,,Revenus subvention fédéral 10%,Revenus subvention fédéral 10%,0.00,Canadian Dollar,No
Other,,Revenus d'assurances,Revenus d'assurances,0.00,Canadian Dollar,No
Other,,Revenus,Revenus,0.00,Canadian Dollar,No
Other,,Revenu d'intérêts,Revenu d'intérêts CPG,0.00,Canadian Dollar,No
Other,,Repas Dév. fournisseurs,Frais de repas Dév. fournisseurs,0.00,Canadian Dollar,No
Other,,Repas Dév. affaires,Frais de repas Dév. affaires,0.00,Canadian Dollar,No
Other,,Réparations,Réparations,0.00,Canadian Dollar,No
Other,,Remise pour livraison Burnac Gamble,Remise pour livraison Burnac Gamble,0.00,Canadian Dollar,No
