Number,Entity,Transaction Date,Employee,Account Name,Bank Account,Reconciliation Date,Amount,AR Amount (CAD),Amount (CAD),Tax Amount,Withholding Tax Amount,Currency,Exchange Rate,Reverse Exchange Rate,Is Printed,Realized Amount (CAD),Gain/Loss (CAD),Attachments
00020978722025,Costco Vaughan Wet,12/13/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,,"USD 24,093.00","33,682.01","34,260.25",USD 0.00,USD 0.00,United States Dollar,0.7,1.42,No,"34,260.25",-578.24,No
00020978722025,Costco Varennes,12/13/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,,"USD 24,065.87","33,644.08","34,221.67",USD 0.00,USD 0.00,United States Dollar,0.7,1.42,No,"34,221.67",-577.59,No
0008006873091,Agence du revenu du Canada,12/13/2024,Karyne Manseau,Comptes clients CAD,Comptant CAD RBC,,"CAD 5,304.09","5,304.09","5,304.09",CAD 0.00,CAD 0.00,Canadian Dollar,1.0,1.0,No,0.00,0.00,No
0008006873092,Agence du revenu du Canada,12/13/2024,Karyne Manseau,Comptes clients CAD,Comptant CAD RBC,,"CAD 6,063.57","6,063.57","6,063.57",CAD 0.00,CAD 0.00,Canadian Dollar,1.0,1.0,No,0.00,0.00,No
0000093459970,Revenu Québec,12/12/2024,Karyne Manseau,Comptes clients CAD,Comptant CAD RBC,,"CAD 18,860.01","18,860.01","18,860.01",CAD 0.00,CAD 0.00,Canadian Dollar,1.0,1.0,No,0.00,0.00,No
 00020903352025,Costco Vaughan Wet,12/12/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,,"USD 24,093.00","33,682.01","34,260.25",USD 0.00,USD 0.00,United States Dollar,0.7,1.42,No,"34,260.25",-578.24,No
00567864,Courchesne Larose,12/12/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,,"USD 24,643.20","34,377.26","35,042.63",USD 0.00,USD 0.00,United States Dollar,0.7,1.42,No,"35,042.63",-665.37,No
2000327904,Sobeys Quebec City,12/12/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,,"USD 6,857.28","9,572.76","9,751.05",USD 0.00,USD 0.00,United States Dollar,0.7,1.42,No,"9,751.05",-178.29,No
2000327904,Sobeys BCH,12/12/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,,"USD 16,000.32","22,336.45","22,752.46",USD 0.00,USD 0.00,United States Dollar,0.7,1.42,No,"22,752.46",-416.01,No
KPI01574,Krown Produce  Fresh At Its Best™,12/12/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,,"USD 89,712.00","126,180.79","127,570.46",USD 0.00,USD 0.00,United States Dollar,0.7,1.42,No,"127,570.46","-1,389.67",No
