Status,Number,Date,Shipper,Consignee,Pieces,Weight (lb),Volume (ft³),Employee,Destination Agent,Volume weight (Vlb),Chargeable Weight (lb),Value,Method,Destination Port,Destination Country,Origin Port,Origin Country,Modes of Transportation,Commodities Description,Issued By Address,Destination Agent Address,Shipper Address,Consignee Address,Pieces On Hand,Weight On Hand (lb),Volume On Hand (ft³),Volume Weight On Hand (Vlb),Value On Hand,Has Understock,Understock Pieces
On Hand,4615,01/07/2025,Hacienda Celia María C.A.,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","18,378.04",Ocean,Philadelphia,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","Luque 127 y Pedro Carbo, Guayaquil, Ecuador",,1,"3,747.86","2,359.59","24,562.48","18,378.04",No,0
On Hand,4611,01/07/2025,PRIECOR S.A.,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","18,356.09",Ocean,Philadelphia,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","Avenida 25 de Junio y Napoleón Mera. Edificio Contempo, Machala, Ecuador",,1,"3,747.86","2,359.59","24,562.48","18,356.09",No,0
In Process,4565,01/07/2025,Coliman Pacific Corporation,"Equifruit, Inc.",1,"3,747.86","2,359.59",Claudia Ramirez,,"24,562.48","24,562.48","24,718.28",Ground,Toronto,Canada,Pharr,United States,"Truck, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,"10201 S 51st. Street Suite 127, Phoenix, AZ 85044. United States","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0,0.00,0.00,0.00,0.00,No,0
On Hand,4607,01/07/2025,ASOGUABO,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DOLE SHIPPING WEST PORT,"24,562.48","3,747.86","18,290.99",Ocean,San Diego,United States,Guayaquil,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","10Th Av Marine Terminal
1800 Crosby Rd, San Diego, CA 92101. United States","VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",,1,"3,747.86","2,359.59","24,562.48","18,290.99",No,0
On Hand,4605,01/07/2025,ASOGUABO,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DOLE SHIPPING WEST PORT,"24,562.48","3,747.86","18,290.99",Ocean,San Diego,United States,Guayaquil,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","10Th Av Marine Terminal
1800 Crosby Rd, San Diego, CA 92101. United States","VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",,1,"3,747.86","2,359.59","24,562.48","18,290.99",No,0
On Hand,4608,01/07/2025,ASOGUABO,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,PSA PENN TERMINALS,"24,562.48","3,747.86","19,302.10",Ocean,Philadelphia,United States,Guayaquil,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","1 Saville Avenue, Eddystone, PA 19022. United States","VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",,1,"3,747.86","2,359.59","24,562.48","19,302.10",No,0
On Hand,4604,01/07/2025,ASOGUABO,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,PSA PENN TERMINALS,"24,562.48","3,747.86","18,290.99",Ocean,Philadelphia,United States,Guayaquil,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","1 Saville Avenue, Eddystone, PA 19022. United States","VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",,1,"3,747.86","2,359.59","24,562.48","18,290.99",No,0
In Process,4527,01/07/2025,Coliman Pacific Corporation,"Equifruit, Inc.",1,"3,747.86","2,359.59",Claudia Ramirez,,"24,562.48","24,562.48","20,302.78",Ground,Seattle,United States,Nogales,United States,"Truck, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,"10201 S 51st. Street Suite 127, Phoenix, AZ 85044. United States","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0,0.00,0.00,0.00,0.00,No,0
In Process,4542,01/03/2025,Coliman Pacific Corporation,"Equifruit, Inc.",1,"3,747.86","2,359.59",Claudia Ramirez,,"24,562.48","24,562.48","25,123.41",Ground,Calgary,Canada,Nogales,United States,"Truck, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,"10201 S 51st. Street Suite 127, Phoenix, AZ 85044. United States","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0,0.00,0.00,0.00,0.00,No,0
In Process,4564,01/03/2025,Coliman Pacific Corporation,"Equifruit, Inc.",1,"3,747.86","2,359.59",Claudia Ramirez,,"24,562.48","24,562.48","24,718.28",Ground,Toronto,Canada,Pharr,United States,"Truck, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,"10201 S 51st. Street Suite 127, Phoenix, AZ 85044. United States","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0,0.00,0.00,0.00,0.00,No,0
On Hand,4589,01/02/2025,C.I. AGRICOLAS LAS FLORES S.A.S.,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DOLE SHIPPING EAST COAST,"24,562.48","3,747.86","19,802.64",Ocean,Port of Wilmington,United States,Santa Marta,Colombia,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","1 Hausel Road, Wilmington, DE 19801. United States","Carrera 4ta #12-55 P 2, santa marta, 470006. Colombia",,1,"3,747.86","2,359.59","24,562.48","19,802.64",No,0
On Hand,4576,01/02/2025,C.I. AGRICOLAS LAS FLORES S.A.S.,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DOLE SHIPPING EAST COAST,"24,562.48","3,747.86","19,802.64",Ocean,Port of Wilmington,United States,Santa Marta,Colombia,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","1 Hausel Road, Wilmington, DE 19801. United States","Carrera 4ta #12-55 P 2, santa marta, 470006. Colombia",,1,"3,747.86","2,359.59","24,562.48","19,802.64",No,0
Delivered,4563,01/02/2025,Coliman Pacific Corporation,"Equifruit, Inc.",1,"3,747.86","2,359.59",Claudia Ramirez,,"24,562.48","24,562.48","23,576.06",Ground,Toronto,Canada,Pharr,United States,"Truck, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,"10201 S 51st. Street Suite 127, Phoenix, AZ 85044. United States","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0,0.00,0.00,0.00,0.00,No,0
On Hand,4591,12/31/2024,ASOGUABO,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,PSA HALIFAX FAIRVIEW COVE,"24,562.48","3,747.86","19,885.32",Ocean,Port of Halifax,Canada,Guayaquil,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","6708 Bayne St, Halifax, NS B3K 0H1. Canada","VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",,1,"3,747.86","2,359.59","24,562.48","19,885.32",No,0
On Hand,4590,12/31/2024,ASOGUABO,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,PSA HALIFAX FAIRVIEW COVE,"24,562.48","3,747.86","19,228.32",Ocean,Port of Halifax,Canada,Guayaquil,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","6708 Bayne St, Halifax, NS B3K 0H1. Canada","VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",,1,"3,747.86","2,359.59","24,562.48","19,228.32",No,0
On Hand,4594,12/31/2024,ASOGUABO,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DOLE SHIPPING WEST PORT,"24,562.48","3,747.86","19,228.32",Ocean,San Diego,United States,Guayaquil,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","10Th Av Marine Terminal
1800 Crosby Rd, San Diego, CA 92101. United States","VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",,1,"3,747.86","2,359.59","24,562.48","19,228.32",No,0
On Hand,4592,12/31/2024,ASOGUABO,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","19,228.32",Ocean,Philadelphia,United States,Guayaquil,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",,1,"3,747.86","2,359.59","24,562.48","19,228.32",No,0
Delivered,4541,12/31/2024,Coliman Pacific Corporation,"Equifruit, Inc.",1,"3,747.86","2,359.59",Claudia Ramirez,,"24,562.48","24,562.48","25,123.41",Ground,Calgary,Canada,Nogales,United States,"Truck, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,"10201 S 51st. Street Suite 127, Phoenix, AZ 85044. United States","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0,0.00,0.00,0.00,0.00,No,0
Delivered,4514,12/27/2024,Coliman Pacific Corporation,"Equifruit, Inc.",1,"3,747.86","2,359.59",Claudia Ramirez,,"24,562.48","24,562.48","23,937.41",Ground,Calgary,Canada,Nogales,United States,"Truck, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,"10201 S 51st. Street Suite 127, Phoenix, AZ 85044. United States","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0,0.00,0.00,0.00,0.00,No,0
On Hand,4507,12/26/2024,Marplantis Organic Sustainable Agriculture,"Equifruit, Inc.",1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","17,842.14",Ocean,Philadelphia,United States,Guayaquil,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",1,"3,747.86","2,359.59","24,562.48","17,842.14",No,0
On Hand,4558,12/26/2024,Surgesa S.A.,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","18,699.66",Ocean,Philadelphia,United States,Guayaquil,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","Luque #127, Pedro Carbo, Guayaquil 090307. Ecuador",,1,"3,747.86","2,359.59","24,562.48","18,699.66",No,0
In Process,4560,12/26/2024,C.I. AGRICOLAS LAS FLORES S.A.S.,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DOLE SHIPPING EAST COAST,"24,562.48","3,747.86","19,329.41",Ocean,Port of Wilmington,United States,Santa Marta,Colombia,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","1 Hausel Road, Wilmington, DE 19801. United States","Carrera 4ta #12-55 P 2, santa marta, 470006. Colombia",,0,0.00,0.00,0.00,0.00,No,0
In Process,4550,12/26/2024,C.I. AGRICOLAS LAS FLORES S.A.S.,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DOLE SHIPPING EAST COAST,"24,562.48","3,747.86","19,329.41",Ocean,Port of Wilmington,United States,Santa Marta,Colombia,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","1 Hausel Road, Wilmington, DE 19801. United States","Carrera 4ta #12-55 P 2, santa marta, 470006. Colombia",,0,0.00,0.00,0.00,0.00,No,0
On Hand,4559,12/26/2024,Marplantis Organic Sustainable Agriculture,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","18,121.32",Ocean,Philadelphia,United States,Guayaquil,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador",,1,"3,747.86","2,359.59","24,562.48","18,121.32",No,0
On Hand,4574,12/24/2024,Latbio S.A.,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,CHILL LOGISTICS/CHANNEL ISLAND,"24,562.48","3,747.86","18,286.29",Ocean,Hueneme,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","5655 Arcturus Ave, Oxnard, CA 93033. United States","10 de agosto entre Pichincha y García Moreno, Pasaje, El Oro Ecuador",,1,"3,747.86","2,359.59","24,562.48","18,286.29",No,0
On Hand,4573,12/24/2024,Hacienda Celia María C.A.,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,CHILL LOGISTICS/CHANNEL ISLAND,"24,562.48","3,747.86","18,454.89",Ocean,Hueneme,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","5655 Arcturus Ave, Oxnard, CA 93033. United States","Luque 127 y Pedro Carbo, Guayaquil, Ecuador",,1,"3,747.86","2,359.59","24,562.48","18,454.89",No,0
On Hand,4571,12/24/2024,ASOGUABO,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,CHILL LOGISTICS/CHANNEL ISLAND,"24,562.48","3,747.86","18,433.27",Ocean,Hueneme,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","5655 Arcturus Ave, Oxnard, CA 93033. United States","VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",,1,"3,747.86","2,359.59","24,562.48","18,433.27",No,0
On Hand,4570,12/24/2024,ASOGUABO,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,CHILL LOGISTICS/CHANNEL ISLAND,"24,562.48","3,747.86","18,433.27",Ocean,Hueneme,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","5655 Arcturus Ave, Oxnard, CA 93033. United States","VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",,1,"3,747.86","2,359.59","24,562.48","18,433.27",No,0
On Hand,4569,12/24/2024,ASOGUABO,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,CHILL LOGISTICS/CHANNEL ISLAND,"24,562.48","3,747.86","18,433.27",Ocean,Hueneme,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","5655 Arcturus Ave, Oxnard, CA 93033. United States","VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",,1,"3,747.86","2,359.59","24,562.48","18,433.27",No,0
On Hand,4568,12/24/2024,PRIECOR S.A.,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,CHILL LOGISTICS/CHANNEL ISLAND,"24,562.48","3,747.86","18,286.29",Ocean,Hueneme,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","5655 Arcturus Ave, Oxnard, CA 93033. United States","Avenida 25 de Junio y Napoleón Mera. Edificio Contempo, Machala, Ecuador",,1,"3,747.86","2,359.59","24,562.48","18,286.29",No,0
On Hand,4557,12/24/2024,Surgesa S.A.,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,CHILL LOGISTICS/CHANNEL ISLAND,"24,562.48","3,747.86","18,288.40",Ocean,Hueneme,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","5655 Arcturus Ave, Oxnard, CA 93033. United States","Luque #127, Pedro Carbo, Guayaquil 090307. Ecuador",,1,"3,747.86","2,359.59","24,562.48","18,288.40",No,0
On Hand,4554,12/24/2024,Marplantis Organic Sustainable Agriculture,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,CHILL LOGISTICS/CHANNEL ISLAND,"24,562.48","3,747.86","18,121.32",Ocean,Hueneme,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","5655 Arcturus Ave, Oxnard, CA 93033. United States","DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador",,1,"3,747.86","2,359.59","24,562.48","18,121.32",No,0
On Hand,4553,12/24/2024,Marplantis Organic Sustainable Agriculture,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,CHILL LOGISTICS/CHANNEL ISLAND,"24,562.48","3,747.86","18,121.32",Ocean,Hueneme,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","5655 Arcturus Ave, Oxnard, CA 93033. United States","DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador",,1,"3,747.86","2,359.59","24,562.48","18,121.32",No,0
On Hand,4552,12/24/2024,Marplantis Organic Sustainable Agriculture,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,CHILL LOGISTICS/CHANNEL ISLAND,"24,562.48","3,747.86","18,121.32",Ocean,Hueneme,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","5655 Arcturus Ave, Oxnard, CA 93033. United States","DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador",,1,"3,747.86","2,359.59","24,562.48","18,121.32",No,0
In Process,4511,12/24/2024,Coliman Pacific Corporation,"Equifruit, Inc.",1,"3,747.86","2,359.59",Claudia Ramirez,,"24,562.48","24,562.48","20,056.27",Ground,Seattle,United States,Nogales,United States,"Truck, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,"10201 S 51st. Street Suite 127, Phoenix, AZ 85044. United States","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0,0.00,0.00,0.00,0.00,No,0
Delivered,4588,12/24/2024,Coliman Pacific Corporation,"Equifruit, Inc.",1,"3,747.86","2,359.59",Claudia Ramirez,,"24,562.48","24,562.48","23,824.05",Ground,Toronto,Canada,Pharr,United States,"Truck, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,"10201 S 51st. Street Suite 127, Phoenix, AZ 85044. United States","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0,0.00,0.00,0.00,0.00,No,0
In Process,4575,12/24/2024,ASOGUABO,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,PSA PENN TERMINALS,"24,562.48","3,747.86","19,920.38",Ocean,Philadelphia,United States,Guayaquil,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","1 Saville Avenue, Eddystone, PA 19022. United States","VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",,0,0.00,0.00,0.00,0.00,No,0
