container,pieces,manufacturer,departure_date,arrival_date,purchase_order_harvest_date,description,item_definition_categories,part_number,purchase_order_pallets,unitary_value,status,purchase_order_container#
4587,900,Coliman Pacific Corporation,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007MXCOL,Chep,25.6,Ordered,NaN
4589,960,C.I. AGRICOLAS LAS FLORES S.A.S.,01/04/2025,01/12/2025,NaN,Banano Cavendish Organico Fairtrade con banda,Organic,001COCIA,Chep,20.63,On Hand,SZLU9928636
4590,900,ASOGUABO,01/05/2025,01/21/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Costco,007ECELG,Walk Global/Escobar,21.36,On Hand,ZMOU8955563
4591,960,ASOGUABO,01/05/2025,01/21/2025,NaN,Banano Cavendish Organico Fairtrade con banda,Organic,001ECELG,Tipo CHEP,20.71,On Hand,GMOU9003455
4592,900,ASOGUABO,01/03/2025,01/12/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Costco,007ECELG,Walk Global/Escobar,21.36,On Hand,GCXU8019371
4593,960,C.I. AGRICOLAS LAS FLORES S.A.S.,01/11/2025,01/19/2025,NaN,Banano Cavendish Organico Fairtrade con banda,Organic,001COCIA,Chep,20.4,On Hand,NaN
4594,900,ASOGUABO,01/03/2025,01/12/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Costco,007ECELG,Walk Global/Escobar,21.36,On Hand,CAAU4100075
4595,960,C.I. AGRICOLAS LAS FLORES S.A.S.,01/11/2025,01/19/2025,NaN,Banano Cavendish Organico Fairtrade con banda,Organic,001COCIA,Chep,20.4,On Hand,NaN
4596,900,Marplantis Organic Sustainable Agriculture,01/12/2025,01/28/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007ECMAR,Walk Global/Escobar,20.4,On Hand,ZCLU9952001
4597,900,Marplantis Organic Sustainable Agriculture,01/12/2025,01/28/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007ECMAR,Walk Global/Escobar,20.4,On Hand,ZMOU8826571
4598,900,Coliman Pacific Corporation,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007MXCOL,Chep,25.68,Ordered,NaN
4599,900,Coliman Pacific Corporation,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007MXCOL,Chep,25.68,Ordered,NaN
